problemDowntime;Problem MM;reasonDowntime;actionDowtime;System
AIR BAG BOCOR;MACHINE BREAKDOWN;AIR BAG PECAH / SOBEK;GANTI AIR BAG;PNEUMATIC
AIR BAG BOCOR;MACHINE BREAKDOWN;BAUT CLAMP MOLD KENDUR;KENCANGKAN BAUT CLAMP MOLD;PNEUMATIC
AIR BAG BOCOR;MACHINE BREAKDOWN;BAUT CLAMP SELEK / AUS;GANTI BAUT CLAMP MOLD;PNEUMATIC
AIR BAG BOCOR;MACHINE BREAKDOWN;CHECK VALVE MACET/RUSAK;SETING TEKANAN;HYDRAULIC
AIR BAG BOCOR;MACHINE BREAKDOWN;CYLINDER HYDRAULIC BOCOR;GANTI SET CYLINDER;HYDRAULIC
AIR BAG BOCOR;MACHINE BREAKDOWN;P.U HOSE BOCOR;GANTI P.U HOSE;PNEUMATIC
AIR BAG BOCOR;MACHINE BREAKDOWN;PUSH BUTTON RUSAK;GANTI PUSH BUTTON DAN SETTING ULANG MESIN;ELECTRICAL
AIR BAG BOCOR;MACHINE BREAKDOWN;SOLENOID V/V RUSAK;GANTI SOLENOID DAN SETTING ULANG MESIN;HYDRAULIC
AIR BAG BOCOR;MACHINE BREAKDOWN;SOLENOID VALVE MAMPET;SERVICE SOLENOID VALVE;PNEUMATIC
ALARM MESIN MENYALA;MACHINE BREAKDOWN;LAMPU NIR SUDAH MENCAPAI 1000 JAM;GANTI LAMPU NIR;ELECTRICAL
ALIGNMENT SYSTEM TIDAK BERFUNGSI - MM;MACHINE BREAKDOWN;LASER PROJECTOR ERROR;SETTING LASER PROJECTOR;ALLIGNMENT SYSTEM (MM)
BEAM MACET (TIDAK NAIK/TURUN);MACHINE BREAKDOWN;BAUT SLIDING FRAME PATAH;GANTI BAUT SLIDING FRAME;MECHANICAL
BEAM MACET (TIDAK NAIK/TURUN);MACHINE BREAKDOWN;CONNECTING ROD ATAS PATAH;GANTI CONNECTING ROD;MECHANICAL
BEAM MACET (TIDAK NAIK/TURUN);MACHINE BREAKDOWN;OLI MESIN KURANG / HABIS;TAMBAHKAN OLI MESIN DAN BERSIHKAN FILTER OIL;HYDRAULIC
BEAM MACET (TIDAK NAIK/TURUN);MACHINE BREAKDOWN;PELUMAS BEAM HABIS / KERING;PENAMBAHAN PELUMAS PADA BEAM;MECHANICAL
BEAM MACET (TIDAK NAIK/TURUN);MACHINE BREAKDOWN;RANTAI BEAM PUTUS;SAMBUNG RANTAI BEAM;MECHANICAL
BEAM MACET (TIDAK NAIK/TURUN);MACHINE BREAKDOWN;RUBBER COUPLING PECAH;GANTI RUBBER COUPLING DAN SETTING;MECHANICAL
BEAM MACET (TIDAK NAIK/TURUN);MACHINE BREAKDOWN;SELANG HYDRAULIC PECAH;GANTI SELANG HYDRAULIC;HYDRAULIC
BEAM MACET (TIDAK NAIK/TURUN);MACHINE BREAKDOWN;SETTINGAN BEAM BERUBAH (GANTI DIES);SETTING BEAM UNTUK KETAJAMAN DIES;MECHANICAL
BEAM MACET (TIDAK NAIK/TURUN);MACHINE BREAKDOWN;SOLENOIDE VALVE RUSAK;GANTI SOLENOIDE VALVE;HYDRAULIC
BEAM MACET (TIDAK NAIK/TURUN);MACHINE BREAKDOWN;TIMER RUSAK/ERROR;SERVICE/SETTING ULANG TIMER;ELECTRICAL
BEARING ROLL RUSAK (SLIDING TRAY BERAT);MACHINE BREAKDOWN;BEARING/RUMAH BEARING RUSAK/PECAH;GANTI BEARING (HOUSE);MECHANICAL
BEARING ROLL RUSAK (SLIDING TRAY BERAT);MACHINE BREAKDOWN;SETTING BEAM BERUBAH;GANTI BEARING ROLL;MECHANICAL
CLEANING BLOWER;MAINTENANCE;MAINTENANCE;CLEANING BLOWER;OTHER
COMPOUND BOCOR;MACHINE BREAKDOWN;NOOZLE COMPOUND RUSAK;GANTI NOOZLE COMPOUND;HYDRAULIC
COMPOUND TIDAK KELUAR (KERAS);MACHINE BREAKDOWN;BAUT WEAPER LEPAS;GANTI/MENGENCANGKAN BAUT WEAPER;PNEUMATIC
COMPOUND TIDAK KELUAR (KERAS);MACHINE BREAKDOWN;FAN INJECTOR 1 TERBAKAR;GANTI FAN INJECTOR;PNEUMATIC
COVER MESIN TIDAK MENUTUP SEMPURNA;MACHINE BREAKDOWN;ENGSEL COVER RUSAK (PATAH);GANTI ENGSEL COVER;MECHANICAL
CUTTER TREAD (AUTO CUTTER) TIDAK BERFUNGSI;MACHINE BREAKDOWN;CUTTER THREAD TUMPUL;ASAH CUTTER THREAD;MECHANICAL
CUTTER TREAD (AUTO CUTTER) TIDAK BERFUNGSI;MACHINE BREAKDOWN;CUTTER THREAD TUMPUL;SETTING PISAU DAN SETTING HOOK;MECHANICAL
CUTTER TREAD (AUTO CUTTER) TIDAK BERFUNGSI;MACHINE BREAKDOWN;CUTTER TREAD RUSAK;GANTI CUTTER TREAD;MECHANICAL
CUTTER TREAD (AUTO CUTTER) TIDAK BERFUNGSI;MACHINE BREAKDOWN;CUTTER TREAD TIDAK MOTONG;SETTING CUTTER TREAD;MECHANICAL
CUTTER TREAD (AUTO CUTTER) TIDAK BERFUNGSI;MACHINE BREAKDOWN;SETTINGAN CUTTER TREAD (AUTO CUTTER) BERUBAH;SETTING AUTO CUTTER;MECHANICAL
ENGKOL / PRESSURE FOOT TIDAK ANGKAT;MACHINE BREAKDOWN;ENGKOL / PRESSURE FOOT PATAH;GANTI/SETTING ENGKOL;ELECTRICAL
ENGKOL MACET;MACHINE BREAKDOWN;BAUT LEPAS;PASANG DAN KENCANGKAN BAUT;MECHANICAL
ENGKOL / PRESSURE FOOT TIDAK ANGKAT;MACHINE BREAKDOWN;DUDUKAN ENGKOL PATAH;PENGELASAN DUDUKAN ENGKOL;MECHANICAL
GRINDER TIDAK BERPUTAR / MACET;MACHINE BREAKDOWN;GRINDER RUSAK;GANTI GRINDER;MECHANICAL
HASIL GRINDING TIDAK KONSISTEN;MACHINE BREAKDOWN;BATU GRINDER TUMPUL;GANTU BATU GRINDER;MECHANICAL
HASIL GRINDING TIDAK KONSISTEN;MACHINE BREAKDOWN;FILTER MESIN MAMPET;CLEANING FILTER MESIN;MECHANICAL
HASIL HAMMERING TIDAK STABIL;MACHINE BREAKDOWN;SETTINGAN HAMMER TIDAK STANDAR;SETTING HAMMER;MECHANICAL
TEMPERATURE MESIN TIDAK STABIL;MACHINE BREAKDOWN;TPR RUSAK/TERBAKAR;SAMBUNG KABEL POWER LAMPU NIR YANG KEBAKAR;HEATING
HASIL LABEL TIDAK PANAS;MACHINE BREAKDOWN;TEFLON GOSONG / TERBAKAR;GANTI TEFLON BARU;HEATING
HASIL MELTING TIDAK STABIL;MACHINE BREAKDOWN;SETTINGAN ROLL TIDAK SAMA;SETTING ULANG ROLL;MELTING
HASIL PEMOTONGAN MESIN TIDAK RATA;MACHINE BREAKDOWN;CONECTING ROAD MIRING;SETTING KEMIRINGAN CONECTING ROAD;MECHANICAL
HASIL PEMOTONGAN MESIN TIDAK RATA;MACHINE BREAKDOWN;SETTINGAN KNIFE BERUBAH;SETTING ULANG KNIFE (HEAD);MECHANICAL
HASIL GAUGE TIDAK STABIL;MACHINE BREAKDOWN;CYLINDER MIRING;GANTI CYLINDER;PNEUMATIC
HASIL GAUGE TIDAK STABIL;MACHINE BREAKDOWN;CYLINDER MIRING;SETTING CYLINDER;PNEUMATIC
HASIL POTONG LASER TIDAK STANDAR - MM;MACHINE BREAKDOWN;BEARING HEAD KENDOR;SETTING BEARING HEAD;MECHANICAL
HASIL POTONG LASER TIDAK STANDAR - MM;MACHINE BREAKDOWN;SCREW LENSA KENDOR;KENCANGKAN SCREW LENSA;MECHANICAL
HASIL POTONG LASER TIDAK STANDAR - MM;MACHINE BREAKDOWN;TIMING BELT KENDOR;SETTING TIMING BELT;MECHANICAL
HASIL POTONG TIDAK STABIL;MACHINE BREAKDOWN;CONNECTING ROAD MIRING / RUSAK;SETTING KEMIRINGAN CONNECTING ROAD;MECHANICAL
